pattern,Repeat1,Repeat2,Repeat3
1,0.33,0.32,0.35
2,0.47,0.48,0.5
3,0.57,0.56,0.63
4,0.67,0.67,0.7
5,0.76,0.72,0.74
6,0.82,0.84,0.83
7,0.86,0.9,0.88
8,0.94,0.93,0.93
