Pattern,Repeat1,Repeat2,Repeat3
1,0.37,0.37,0.36
2,0.5,0.5,0.5
3,0.6,0.6,0.6
4,0.68,0.69,0.69
5,0.69,0.69,0.69
6,0.82,0.82,0.82
7,0.89,0.89,0.88
8,0.94,0.94,0.93
