pattern,Repeat1,Repeat2,Repeat3
1,0.36,0.35,0.36
2,0.51,0.48,0.47
3,0.61,0.6,0.62
4,0.63,0.65,0.7
5,0.73,0.74,0.73
6,0.8,0.84,0.81
7,0.88,0.92,0.9
8,0.92,0.94,0.98
