pattern,Repeat1,Repeat2,Repeat3
1,0.33,0.36,0.33
2,0.53,0.52,0.46
3,0.63,0.56,0.58
4,0.7,0.7,0.68
5,0.78,0.76,0.78
6,0.83,0.83,0.83
7,0.89,0.87,0.86
8,0.94,0.94,0.93
