pattern,Repeat1,Repeat2,Repeat3
1,0.35,0.34,0.36
2,0.49,0.48,0.49
3,0.58,0.61,0.59
4,0.7,0.68,0.69
5,0.77,0.75,0.78
6,0.84,0.83,0.85
7,0.9,0.87,0.9
8,0.95,0.96,0.94
