pattern,Repeat1,Repeat2,Repeat3
1,0.37,0.34,0.34
2,0.53,0.53,0.44
3,0.61,0.59,0.64
4,0.7,0.69,0.67
5,0.77,0.78,0.77
6,0.82,0.86,0.84
7,0.89,0.89,0.86
8,0.97,0.94,0.95
