pattern,Repeat1,Repeat2,Repeat3
1,0.41,0.35,0.38
2,0.5,0.47,0.49
3,0.61,0.61,0.58
4,0.71,0.72,0.68
5,0.79,0.77,0.75
6,0.83,0.85,0.83
7,0.87,0.92,0.9
8,0.92,0.99,0.93
