pattern,Repeat1,Repeat2,Repeat3
1,0.36,0.35,0.34
2,0.51,0.47,0.49
3,0.59,0.62,0.6
4,0.68,0.68,0.72
5,0.78,0.74,0.75
6,0.86,0.86,0.84
7,0.89,0.89,0.88
8,0.92,0.95,0.92
