pattern,Repeat1,Repeat2,Repeat3
1,0.34,0.33,0.34
2,0.49,0.5,0.45
3,0.59,0.63,0.6
4,0.72,0.66,0.67
5,0.76,0.76,0.75
6,0.85,0.84,0.85
7,0.88,0.85,0.88
8,0.95,0.94,0.93
