pattern,Repeat1,Repeat2,Repeat3
1,0.33,0.35,0.34
2,0.5,0.48,0.5
3,0.58,0.61,0.59
4,0.72,0.68,0.66
5,0.74,0.76,0.76
6,0.81,0.82,0.8
7,0.85,0.89,0.9
8,0.96,0.9,0.95
