pattern,Repeat1,Repeat2,Repeat3
1,0.35,0.35,0.37
2,0.52,0.49,0.47
3,0.56,0.61,0.63
4,0.69,0.69,0.69
5,0.73,0.73,0.75
6,0.85,0.83,0.83
7,0.84,0.94,0.89
8,0.96,0.94,0.94
