pattern,Repeat1,Repeat2,Repeat3
1,0.36,0.35,0.36
2,0.51,0.5,0.48
3,0.6,0.62,0.58
4,0.68,0.71,0.68
5,0.72,0.75,0.78
6,0.87,0.8,0.82
7,0.9,0.89,0.87
8,0.96,0.93,0.95
