pattern,Repeat1,Repeat2,Repeat3
1,0.35,0.36,0.36
2,0.53,0.49,0.53
3,0.6,0.59,0.62
4,0.7,0.68,0.69
5,0.73,0.75,0.79
6,0.8,0.85,0.84
7,0.89,0.86,0.87
8,0.95,0.95,0.93
