pattern,Repeat1,Repeat2,Repeat3
1,0.34,0.37,0.37
2,0.51,0.49,0.51
3,0.58,0.59,0.59
4,0.66,0.65,0.66
5,0.77,0.76,0.77
6,0.85,0.8,0.81
7,0.9,0.91,0.9
8,0.94,0.92,0.94
