pattern,Repeat1,Repeat2,Repeat3
1,0.34,0.37,0.33
2,0.52,0.47,0.56
3,0.59,0.58,0.59
4,0.66,0.7,0.7
5,0.77,0.76,0.74
6,0.86,0.8,0.84
7,0.9,0.88,0.9
8,0.93,0.92,0.93
