pattern,Repeat1,Repeat2,Repeat3
1,0.37,0.33,0.39
2,0.5,0.46,0.52
3,0.58,0.61,0.62
4,0.65,0.64,0.73
5,0.8,0.76,0.73
6,0.83,0.87,0.85
7,0.87,0.88,0.9
8,0.92,0.96,0.93
