pattern,Repeat1,Repeat2,Repeat3
1,0.34,0.37,0.33
2,0.49,0.48,0.47
3,0.56,0.6,0.6
4,0.69,0.67,0.71
5,0.74,0.75,0.74
6,0.82,0.85,0.83
7,0.92,0.93,0.89
8,0.93,0.96,0.94
