pattern,Repeat1,Repeat2,Repeat3
1,0.33,0.36,0.34
2,0.5,0.49,0.51
3,0.61,0.62,0.58
4,0.65,0.67,0.68
5,0.76,0.77,0.74
6,0.8,0.85,0.83
7,0.89,0.88,0.89
8,0.94,0.96,0.94
