pattern,Repeat1,Repeat2,Repeat3
1,0.35,0.36,0.36
2,0.52,0.51,0.5
3,0.62,0.56,0.6
4,0.69,0.69,0.71
5,0.76,0.74,0.75
6,0.85,0.85,0.78
7,0.9,0.88,0.87
8,0.96,0.96,0.95
