pattern,Repeat1,Repeat2,Repeat3
1,0.35,0.36,0.36
2,0.52,0.5,0.47
3,0.59,0.59,0.58
4,0.69,0.69,0.64
5,0.77,0.73,0.76
6,0.83,0.79,0.81
7,0.9,0.9,0.89
8,0.93,0.96,0.94
